2022-01-06 14:40:17.201 -03 [15456] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:40:52.651 -03 [17996] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:40:52', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:40:57.154 -03 [5156] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:40:57.154 -03 [5156] DETALLE:  La fila que falla contiene (8, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:40:57.000759, 2022-01-06 17:40:57.000759, null, null, null, 2022-01-06 17:40:57, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:40:57.154 -03 [5156] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:40:57', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:41:19.525 -03 [17416] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:41:19.525 -03 [17416] DETALLE:  La fila que falla contiene (9, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:41:19.350874, 2022-01-06 17:41:19.350874, null, null, null, 2022-01-06 17:41:19, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:41:19.525 -03 [17416] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:41:19', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:41:22.124 -03 [17996] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:41:22.124 -03 [17996] DETALLE:  La fila que falla contiene (10, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:41:21.98349, 2022-01-06 17:41:21.98349, null, null, null, 2022-01-06 17:41:22, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:41:22.124 -03 [17996] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:41:22', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:42:16.148 -03 [17996] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:42:16.148 -03 [17996] DETALLE:  La fila que falla contiene (11, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:42:15.976943, 2022-01-06 17:42:15.976943, null, null, null, 2022-01-06 17:42:16, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:42:16.148 -03 [17996] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:42:16', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:42:40.883 -03 [16764] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:42:40.883 -03 [16764] DETALLE:  La fila que falla contiene (12, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:42:40.745673, 2022-01-06 17:42:40.745673, null, null, null, 2022-01-06 17:42:40, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:42:40.883 -03 [16764] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:42:40', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:44:32.893 -03 [17996] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:44:32.893 -03 [17996] DETALLE:  La fila que falla contiene (13, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:44:32.712279, 2022-01-06 17:44:32.712279, null, null, null, 2022-01-06 17:44:32, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:44:32.893 -03 [17996] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:44:32', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:54:44.503 -03 [5156] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:54:44.503 -03 [5156] DETALLE:  La fila que falla contiene (14, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:54:44.291666, 2022-01-06 17:54:44.291666, null, null, null, 2022-01-06 17:54:44, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:54:44.503 -03 [5156] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:54:44', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:55:24.028 -03 [13304] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:55:24.028 -03 [13304] DETALLE:  La fila que falla contiene (15, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:55:23.850842, 2022-01-06 17:55:23.850842, null, null, null, 2022-01-06 17:55:24, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:55:24.028 -03 [13304] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:55:24', 'normal', '0', 2, 10, 2, 2) RETURNING id
2022-01-06 14:56:58.734 -03 [15456] ERROR:  el valor null para la columna «name» viola la restricción not null
2022-01-06 14:56:58.734 -03 [15456] DETALLE:  La fila que falla contiene (16, null, null, null, null, t, null, null, 0, 10, 2, normal, 2022-01-06 17:56:58.592353, 2022-01-06 17:56:58.592353, null, null, null, 2022-01-06 17:56:58, 2, null, 2, null, null, null, 1, null, null, null, null, null, null, null, null, null, null, 2, 2, null, null, null, null).
2022-01-06 14:56:58.734 -03 [15456] SENTENCIA:  INSERT INTO "project_task" ("id", "create_uid", "create_date", "write_uid", "write_date", "active", "company_id", "date_end", "date_last_stage_update", "kanban_state", "priority", "project_id", "sequence", "stage_id", "user_id") VALUES (nextval('project_task_id_seq'), 2, (now() at time zone 'UTC'), 2, (now() at time zone 'UTC'), true, 1, NULL, '2022-01-06 17:56:58', 'normal', '0', 2, 10, 2, 2) RETURNING id
